,钻石,
五星卡牌,获得1张5星卡牌,200
卡牌专家,获得过100种不同的卡牌,100
险中求胜,胜利时己方英雄血量不高于10,50
豪气干云,赠送体力累计达到1000点,200
敛财有道,收取体力累计达到1000点,200
我爱拼卡,合成50张魔幻卡,300
不辞辛劳,购买100次行动力,300
地下领主,地下城闯过70层,150
地下首领,地下城闯过90层,500
地下王者,地下城闯过100层,1000
百战百胜,军团战获得10次5连胜,500
制霸全服,排位战连续10天在第1名,500
试炼森林,三星通关“试炼森林”所有关卡,100
落日荒原,三星通关“落日荒原”所有关卡,100
西风岛,三星通关“西风岛”所有关卡,100
翡翠森林,三星通关“翡翠森林”所有关卡,100
燃烧平原,三星通关“燃烧平原”所有关卡,100
乌木地下城,三星通关“乌木地下城”所有关卡,100
末日峡谷,三星通关“末日峡谷”所有关卡,100
天空之城,三星通关“天空之城”所有关卡,100
海龟岛,三星通关“海龟岛”所有关卡,100
海底界,三星通关“海底界”所有关卡,100
蛮荒火山,三星通关“蛮荒火山”所有关卡,200
后燃烧平原,三星通关“后燃烧平原”所有关卡,200
神秘之林,三星通关“神秘之林”所有关卡,300
后翡翠森林,三星通关“后翡翠森林”所有关卡,300
等级之王,玩家等级到达100级,500
魔卡王者,玩家等级到达120级,1000
否极泰来？,连续10次冥想到灰色符文,200
脸帝,抽当日第一包获得5星卡牌,500
,魔幻券,
终极符文,拥有1个强化等级4的符文,3
夕阳武士,取得夕阳之塔中所有的宝箱1次,2
风暴之灵,取得飓风之塔中所有的宝箱1次,2
绿色使者,取得翡翠之塔中所有的宝箱1次,2
火焰行者,取得烈焰之塔中所有的宝箱1次,2
幽暗之影,取得暗影之塔中所有的宝箱1次,2
末世先知,取得末日之塔中所有的宝箱1次,2
天界骑士,取得天空之塔中所有的宝箱1次,2
连战连捷,排位赛连续胜利10场,3
不屈不挠,排位赛连续失败10场,3
对战达人,排名战胜利100次,10
千金散尽,花光所有的游戏币,1
鏖战,一次战斗超过50个回合,2
身价千万,持有游戏币达到1000万,3
富可敌国,持有游戏币达到1亿,10
地下勇士,地下城闯过50层,2
地下兵勇,地下城闯过60层,3
十全十美,排位战连续10天在前10名,10
,五星万能碎片,
竞技之王,竞技之王获得1次冠军,10
我爱合成,累计合成20张不同的5星卡牌,20
地下智者,地下城闯过80层,10
土豪,持有晶钻达到100000,20
,金币,
探索者,解锁6个支线关卡,10000
符文大师,获得过30种不同的符文,100000
残念,连续6次冥想到灰色符文,10000
五星符文,获得1个5星符文,50000
终极卡牌,拥有1张强化等级10的卡牌,100000
对战首胜,第一次排位赛胜利,50000
见义勇为,之时战胜他,20000
罪恶克星,遇到神秘盗贼并一次就战胜他,20000
首战告捷,第一次战斗胜利,10000
完美胜利,胜利时己方卡牌全部存活,10000
缴械,胜利时对方英雄血量100,10000
随心所欲,洗练卡牌15级技能达到10次,200000
百里挑一,排位战连续10天在前100名,100000
,卡牌,
地狱魔王,以全地狱种族卡牌获胜50次,黑甲铁骑士
蛮荒之主,以全蛮荒种族卡牌获胜50次,独眼巨人
王国统帅,以全王国种族卡牌获胜50次,大主教
森林智者,以全森林种族卡牌获胜50次,水源制造者
超级卡牌,拥有10张强化等级15的卡牌,雷兽
废寝忘食,购买200次行动力,战神
魔卡王者,玩家等级到达120级,魔卡王者
百变星君,累计改过50次昵称,毁灭之龙